Stop_Name,Daily_All_BA,geometry,Neighbor_Mean_BA,Quadrant
Cairo Stadium,424.0,POINT (336758.3713987635 3327147.2078348235),2232.25,LL
Cairo University (Sheikh Zayed),1949.0,POINT (308890.6310032313 3324362.167970601),2568.125,HL (outlier)
Cairo University Bridge,5592.0,POINT (328019.68549424584 3323263.772428081),2330.625,HL (outlier)
Cairo University Main Gate,6622.0,POINT (327458.64034032595 3323226.099802212),2189.875,HL (outlier)
Cairo University Metro,13939.0,POINT (326594.21391609684 3322953.2218400193),3924.625,HH (cluster)
Car Market (Nasr City),2571.0,POINT (342490.73121983575 3325180.6615886716),7425.75,HH (cluster)
Carrefour (Al Gazaer St.),1025.9866182367664,POINT (333503.43405673525 3318208.6799506037),2416.9144259638792,LL
Carrefour (Obour),249.0,POINT (353159.30175773654 3338842.2894798527),340.5,LL
Carrefour (Ring Rd.),3793.0,,,LL
Carrefour (Shorouq City),272.0,POINT (364419.09024348424 3338884.422516162),227.625,LL
Carrefour (Tora),809.0,POINT (334113.2091120981 3312145.1538172606),710.75,LL
Carrefour Maadi,211.0,,,LL
Catholic Cemetery ( Misr Al Qadima ),588.0,,,LL
Cemeteries (Maadi),124.0,POINT (340524.40106158034 3322283.61477923),1207.375,LL
Center Cairo Governorate Information Networks,80.0,POINT (344144.45971039427 3330424.9301040065),1381.3157243497635,LL
Centeral Al Fustat,385.0,POINT (330470.26547764265 3320423.8212964),621.125,LL
Centeral Al Matariya,3106.0,,,LL
Centeral Heliopolis (Gesr Al Suez),860.0,,,LL
Central Agency for Public Mobilization and Statistics,2191.0,POINT (337637.13798016415 3328771.844408739),2282.75,HL (outlier)
Central Agency for Public Moblization and Statistics,1749.0,,,LL
Central Bank (Ataba),504.0,POINT (330980.2647997983 3326226.291212955),24381.375,LH (outlier)
Central Park (Badr),372.0,POINT (376159.5856315044 3333392.943023257),456.5,LL
Ceramica Cleopatra (Sheikh Zayed),321.0,POINT (308808.3838981814 3323217.375747633),2888.375,LH (outlier)
Child Care Club Association - Al Sayeda Zeinab,1889.0,POINT (331129.64822438546 3323395.5657825614),8979.239285297215,HH (cluster)
CIB (Al Hegaz),1519.0,POINT (339318.0950339703 3331627.461416582),3656.125,HH (cluster)
CIB (South Teseen St.),3904.0,POINT (347923.9175728962 3321648.6801069696),1135.75,HL (outlier)
CIC - Sheikh Zayed,1428.0,POINT (306304.8683086508 3325464.919237584),42.25,HL (outlier)
City Mall (Shorouq City),260.0,POINT (365150.98533362395 3339612.947896767),229.125,LL
City Stars Mall,12436.0,POINT (339925.42653700744 3328095.4373431606),8066.642991033805,HH (cluster)
Civil Registry (Haram),7929.0,POINT (323923.81113150367 3320100.6868646373),4527.75,HH (cluster)
Civil Registry (Imbaba),2549.0,POINT (328796.9554796624 3328923.663192072),5914.0,HH (cluster)
Concord Al Salam Hotel (Gesr Al Suez),1064.0,POINT (340749.8300409086 3333678.886102716),11088.125,LH (outlier)
Concord Plaza (5th Settlement),481.0,POINT (353936.9998919844 3322581.984732965),1137.875,LL
Conrad Hotel,246.0,POINT (329116.76624570834 3327332.7430359884),3031.125,LH (outlier)
Constitutional Court,24.0,POINT (330025.63162335753 3316681.7949406574),2476.271185692576,LL
Coop (Nasr Al Islam Square),260.0,POINT (331700.5484516766 3329838.3798789997),5597.0,LH (outlier)
Coop Gas Station (Cairo Airport),569.0,,,LL
Coop Gas Station (Helwan Corniche),65.0,POINT (335887.11145983916 3298772.3185079615),1582.875,LL
Coop Gas Station (Om Bayoumi),116.0,POINT (331552.4031070066 3334444.418537314),7888.5,LH (outlier)
Coptic Hospital,5427.0,POINT (331512.51967309206 3327103.7318996023),22767.77466212053,HH (cluster)
Cottonil Factory - Gesr Al Suez,94.0,POINT (343197.41848946223 3334370.057007183),1654.25,LL
Credit Agricole (Al Mansoreya Rd.),204.0,,,LL
Criminal Evidence Registery (Abbaseya),6107.0,POINT (334937.29713541106 3327994.1338538993),7528.375,HH (cluster)
Criminal Investigation Department  (Al Maadi Company St.),1126.0,,,LL
Criminal Investigation Department (Al Maadi Company St.),704.0,POINT (334413.83200387785 3318360.642229962),2248.4983272795957,LL
Crystal Asfour ( Masaken Al Wehda ),10446.0,POINT (332208.26392049366 3333379.2518774187),6430.625,HH (cluster)
CTA Garage (Heliopolis),3017.0,POINT (342074.79910472204 3334260.3705290304),5957.25,HH (cluster)
Czesch Republic Embassy (Dokki),2481.0,POINT (327621.1409621559 3323571.3770042863),2617.375,HH (cluster)
Dabsha ( Al Zaytoun),6466.0,POINT (334941.3831943221 3331841.9998032614),3077.5,HH (cluster)
Dabsha (Al Zaytoun),2639.0,POINT (334974.526129388 3331853.0564254182),3555.875,HH (cluster)
Dandy Mall,2076.0,POINT (310056.9451497479 3327086.997516983),543.875,HL (outlier)
Dar Al Foad Hospital (6th of October),722.0,POINT (303929.297878847 3320401.326242428),517.125,LL
Dar Al Mohandeseen Club (Helwan),873.0,POINT (335003.62548879685 3304982.510217111),1117.25,LL
Dar Al Mona (Alexandria Desert Rd.),226.0,POINT (315356.7810445153 3323061.475416632),712.75,LL
Dar Al Salam,2586.0,POINT (330023.19667186076 3318322.6525771464),2481.694480408328,HL (outlier)
Dar Al Salam Police Station,1444.5558432666257,POINT (330864.8326382508 3316989.793369216),3544.576705284248,HH (cluster)
Dar El Salam,8571.0,,,LL
Dar Misr Square (Shorouq City),154.0,POINT (369064.9504684403 3337802.0045481483),266.0,LL
Darb 1718,801.0,POINT (329477.44078525377 3320402.3988365717),3545.625,LH (outlier)
Darb Al Saqia ( Manshiyat Nasser ),2891.0,,,LL
Dawaran Shubra,873.0,POINT (330927.31386507885 3329005.6088600056),6684.625,LH (outlier)
Degla Azhari Language School (Zahraa Al Maadi),186.0,POINT (334408.5983113893 3316045.737965152),1632.0,LL
Diamonds Mall (6th of October),2210.0,POINT (301728.1210296129 3317983.8883494735),1409.5,HL (outlier)
Didi Mall (1st Settlement),403.0,POINT (350820.210282368 3327616.1614385275),1988.125,LL
Doctors Tower (Nasr City),14430.0,POINT (341148.3929153257 3326066.0020967326),5940.4474607597585,HH (cluster)
Documentation Center (Bolak),453.0,POINT (329091.22918006463 3327508.318412255),3005.25,LH (outlier)
Dokki,702.0,POINT (327558.9137443716 3324278.5668203398),1684.5,LL
Dokki Metro,2135.0,POINT (327692.6492482502 3324410.9484682353),1359.25,HL (outlier)
Dokki Square,3574.0,POINT (327517.1095557929 3324357.295545741),1325.5,HL (outlier)
Dolce,694.0,POINT (299664.3881615456 3313469.108664531),1240.625,LL
Dolphin Mall,174.0,POINT (302779.0620613007 3318204.831169204),1581.125,LL
Dorat Al Karaz Mall,1606.0,POINT (358925.49992127134 3318840.390797806),849.75,HL (outlier)
Downtown Mall,1559.0,POINT (346807.69746099954 3321625.636753581),1016.375,HL (outlier)
Dreamland,1326.0,POINT (312278.5092938275 3315809.18755953),271.25,HL (outlier)
Dusit Hotel,1317.0,POINT (351207.4283258199 3322574.413640743),406.125,HL (outlier)
Duty Free (Gameat Al Dowal St.),5254.0,POINT (326109.5169437754 3325380.715134502),7116.0,HH (cluster)
Dwidar St. & Hadayeq Al Qobba St.,2006.0,POINT (334661.9526197341 3329301.1683456874),4066.625,HH (cluster)
East Bulaq Dakrur (Nahya),13650.0,POINT (325851.67845439794 3324906.605463965),6847.875,HH (cluster)
Eastern Gate Obour Market,278.0,POINT (353325.08232242014 3338280.8150192644),336.875,LL
Eastern Weavers (Al Moqattam),1305.0,POINT (339343.02039191267 3321135.3865073426),940.75,HL (outlier)
Education Directorate (Helwan),910.0,POINT (335328.46733581583 3303754.66542542),1335.75,LL
Egypt Air Hospital,1168.0,POINT (340826.49261220265 3330074.162251192),1388.875,LL
Egypt Air Steps (Ring Rd.),691.0,POINT (324281.4418925564 3318266.8189590536),3937.0,LH (outlier)
Egyptian Agricultural Bank (Al Giza),5433.0,POINT (327263.2516371375 3321089.5830536727),11244.25,HH (cluster)
Egyptian Media Production City,447.0,POINT (308746.4292621668 3317047.952349827),411.25,LL
Egyptian Parlimant,11341.0,POINT (329886.6252872314 3324689.222385609),3419.375,HH (cluster)
Egyptian Russian University,340.0,POINT (376521.07051528845 3334964.8711943906),460.5,LL
Egyptian Russian University - East,24.0,POINT (376986.477406232 3335393.926248617),500.0,LL
Egyptian Shooting Club Pedestrian Tunnle (Qattameya),1841.0,,,LL
Egyptian Telecom Club (Autostrad Maadi),734.0,POINT (334899.41375202185 3316671.6123871473),1285.0,LL
El Kafr (Birak Al Khiyam),2256.0,POINT (322324.9902143617 3325285.04847352),1387.75,HL (outlier)
El Warsha (Ezbet Al Nakhl),2768.0,POINT (340487.4290224557 3335585.4361804044),6593.25,HH (cluster)
Elecrticity Hospital (Suez Rd),9482.0,POINT (343134.3048669493 3328633.1804031944),3126.9305933799483,HH (cluster)
Emad El Deen St. & 26th of July St.,7135.0,POINT (330743.6610043808 3325907.824794551),11151.5,HH (cluster)
Emad Market (6th of October),150.0,POINT (297299.1929903828 3316344.8056199695),818.125,LL
Enppi,9088.0,POINT (340029.10880352603 3324929.987928892),2412.25,HL (outlier)
Epx Logistics For Transportation And Warehousing (Obour),45.0,POINT (353041.7879218436 3348654.743845234),680.25,LL
Experimental School (Bahteem),1355.0,POINT (333865.930923383 3335709.8982815347),4964.0,HH (cluster)
Export Development Authority (6th of October),60.0,POINT (298176.36181700736 3314105.2174414336),811.0,LL
Ezbet Al Baydaa Steps (Ring Rd.),6148.0,POINT (338980.92264325405 3338023.4067680086),3453.0,HH (cluster)
Ezbet Al Mofti Steps (Ring Rd.),72.0,POINT (326089.29251871875 3329954.2643208904),5619.25,LH (outlier)
Ezbet Al Nakhl,11051.0,POINT (338700.1629562995 3335378.7617359045),4210.875,HH (cluster)
Ezbet Kheirallah Steps 1 (Ring Rd.),24.0,POINT (330584.6453982829 3319271.0226313556),1310.75,LL
Ezbet Kheirallah Steps 2 (Ring Rd.),78.0,POINT (331373.9846232948 3319137.0505061075),1160.375,LL
Ezbet Kheirallah Steps 3 (Ring Rd.),1022.0,POINT (331948.0596642719 3318990.359570191),1293.875,LL
Ezbet Makar Bridge,334.0,POINT (327485.58769427764 3310160.9837942403),1656.75,LL
Faculty of Agriculture - Ain Shams University,10421.0,POINT (331230.4277441605 3332514.635420482),7067.375,HH (cluster)
Faculty of Agriculture (Cairo University),1643.0,POINT (327546.7185101669 3322286.422332933),9373.125,HH (cluster)
Faculty of Commerce (Cairo University),473.0,POINT (326964.3507098651 3323287.8307037894),4052.75,LH (outlier)
Faculty of Dentistry - Modern Academy,441.0,POINT (337724.5848270423 3319662.5339754964),762.375,LL
Faculty of Engineering - Cairo University (Sheikh Zayed),123.0,POINT (308151.75850284036 3324227.9599061897),530.75,LL
Faculty of Engineering (Al Azhar University),285.0,POINT (334849.3780442828 3327131.6690879934),6324.506847666495,LH (outlier)
Faculty of Engineering (Cairo University),1402.0,POINT (327487.7532129489 3322900.1316148164),5250.625,HH (cluster)
Faculty of Medicine - Ain Shams University,602.0,POINT (334339.22354034043 3328580.682286436),8044.0,LH (outlier)
Faculty of Pharmacy - Modern Academy,500.0,POINT (337784.04377877177 3319423.8040287197),1381.75,LL
Faisal,82.0,POINT (321269.83514517295 3319531.11147432),3586.625,LH (outlier)
Faisal Bank (Othman Bin Affan St.),1643.0,POINT (340154.54591204756 3330949.352297504),2999.625,HH (cluster)
Faisal Islamic Bank ( Tahrir St),963.0,,,LL
Faisal Islamic Bank (Tahrir St.),753.0,POINT (328196.54171395244 3324529.426668098),1510.25,LL
Faisal St.,1092.0,POINT (320124.9256677172 3319193.9806845537),2497.3442048768807,LL
Faisal Tawabek,3053.0,POINT (322449.6575809254 3320026.0968288295),4426.5,HH (cluster)
Falcon School (Shorouq City),32.0,POINT (371246.4521170418 3334533.1749173077),256.5,LL
Family Land (6th of October),89.0,POINT (300103.261746014 3318123.7029351695),548.375,LL
Farghali Realestate in Bashayer,755.0,POINT (298242.246618405 3316962.0209868546),720.5,LL
Farhety Hall (Port Said St.),1653.0,POINT (333254.3691674309 3328789.687112634),2367.625,HL (outlier)
Farouq Corner Musuem (Helwan),2273.0,POINT (335351.96030705364 3303035.513724298),1360.0,HL (outlier)
Farouq Square (Maadi),4327.0,POINT (331705.554912591 3315347.8934679436),2177.2500450344396,HL (outlier)
Fatma Al Sharbatly Mosque,256.0,POINT (350142.56096948916 3320488.975924079),737.625,LL
Fayda Kamel,19493.0,POINT (331961.9806076001 3317407.0702668666),3060.46215980173,HH (cluster)
Ferdous (Rod Al Farag),1887.0,POINT (329972.99560223706 3328823.4509181227),2692.625,HH (cluster)
Fiat Service Center (Obour),252.0,POINT (352880.0388941264 3339617.193263988),340.125,LL
Filfil Mosque (Bashtil),216.0,POINT (325853.5751802564 3329313.7143880995),5542.234657452402,LH (outlier)
Fom Al Khalig,4637.0,POINT (329399.91627226106 3322637.631411948),3173.875,HH (cluster)
Fom Al Khalig Police Station,528.0,POINT (329554.1107454316 3322778.08235215),1946.125,LL
Free Zone (Nasr City),2865.0,POINT (340636.97940754786 3323813.5599628096),1958.125,HL (outlier)
Fustat Market,2692.0,POINT (329417.67849784665 3321131.565391051),2952.0,HH (cluster)
Future University in Egypt (FUE),681.0,POINT (354497.5820867263 3322571.467761579),1112.875,LL
Galaa Bridge Exit to Dokki,1285.0,POINT (328392.39228306164 3324571.566958889),1274.25,LL
Galal Motors (Basateen),2530.0,POINT (333221.18685564573 3318930.73269933),2598.557588415008,HL (outlier)
Galleria 40,378.0,POINT (307264.9171109294 3322175.5519214193),604.25,LL
Gamaa St. (Obour),55.0,POINT (351532.4979644739 3343160.9750857116),283.5,LL
Gamal Abd Al Nasser Metro,19406.0,POINT (330107.79120536725 3326068.342613505),7467.25,HH (cluster)
Gamal Abd Al Nasser Square (5th Settlement),284.0,POINT (348719.3632286666 3318834.39568693),794.5,LL
Gamal Abd Al Nasser Steps (Ring Rd.),822.6433447034813,POINT (324182.2345447494 3328191.9681281867),527.3596574524012,LL
Gamal Al Din Al Banna St. & Al Checheeny St.,2586.0,POINT (320807.80585060595 3319986.4582325937),2290.125,HL (outlier)
Gardenia (Cairo Suez Rd.),430.0,POINT (345748.542876846 3328861.7322141514),4390.0657243497635,LH (outlier)
Gardenia Heights (5th Settlement),510.0,POINT (352289.98242963187 3318206.820974713),445.0,LL
Gas (5th Settlement),1304.0,POINT (347261.68502220785 3321482.612450633),1048.25,HL (outlier)
Gas Tech Gas Station ( Faisal St.),4554.0,POINT (322504.80123619456 3320049.3529827115),4238.875,HH (cluster)
General Company for Land Reclamation,1192.0,POINT (331642.33996117825 3318330.194975407),3520.319480408328,LH (outlier)
Gesr Al Suez - Taha Hussein,472.0,POINT (343659.8397360802 3334543.812388149),611.75,LL
Gesr Al Suez (Al Qobba),4537.0,,,LL
Gesr El Suez Garage Station,2845.0,POINT (342162.1650160641 3334211.0043085525),5473.125,HH (cluster)
Ghamra,15429.0,POINT (332732.95444064937 3327596.8254136955),1744.095034053309,HL (outlier)
Ghamra Bridge Entrance,410.0,POINT (332986.288700793 3328157.1048307875),3808.875,LH (outlier)
Ghamra Bridge Exit to Cairo University,457.0,POINT (333003.0404542692 3328164.771856515),4278.875,LH (outlier)
Girls' College - Ain Shams University,5293.0,,,LL
Giza Bridge Exit to Cairo University,10181.0,POINT (327552.1008223939 3322091.655765823),8322.625,HH (cluster)
Giza Courthouse Complex,14674.0,POINT (327265.84597692924 3321324.6920923325),12228.375,HH (cluster)
Giza Directorate of Health Affairs,1278.0,POINT (325868.7996565717 3327682.620816884),3140.705131436879,LH (outlier)
Giza Governorate Authority,454.0,POINT (326377.06442661455 3321115.7543478305),6150.375,LH (outlier)
Giza Helwan Bus Station,12408.0,POINT (327879.28462604457 3321845.7653087503),8850.75,HH (cluster)
Giza Metro,1536.0,POINT (327004.06520939583 3321699.2807933325),13203.5,HH (cluster)
Giza Park (Bashtil),5686.0,POINT (325844.8163304972 3328668.425841365),2782.7514313006864,HH (cluster)
Giza Square,33495.0,POINT (327608.18342135195 3321843.5498947273),7108.375,HH (cluster)
Gladios Garden Compound,113.0,POINT (317182.6556060466 3321359.834067143),529.375,LL
Golf Square (5th Settlement),16.0,POINT (346245.4297192006 3319736.3254697747),768.625,LL
Greek Hospital,2449.0,POINT (334292.4682610681 3327430.4997230223),5236.750608452981,HH (cluster)
Green Hills Club,90.0,POINT (368477.6197417653 3337683.458800649),257.125,LL
Hadaba Wosta (Moqattam),1220.0,,,LL
Hadayek Al Ahram Gate 3,44.0,POINT (316183.06572708633 3314608.525297095),1278.875,LL
Hadayek Al Qobba,6103.0,POINT (335247.66389458184 3329662.682779531),4521.375,HH (cluster)
Hadayek Al Qobba Police Station,10924.0,POINT (334874.20636504795 3330441.8537967936),3482.75,HH (cluster)
Hadayek Al Qobba Youth Center,5018.0,POINT (334794.06412710715 3329946.4912678916),3704.375,HH (cluster)
Hadayeq Al Qobba Police Station,1595.0,POINT (335023.4373867119 3330303.826841571),4914.125,HH (cluster)
Hadayeq Al Zaytoun School (Al Matareyya St.),9645.0,POINT (336585.88745054684 3332155.2113562156),6716.625,HH (cluster)
Hall 3 - Cairo Airport,1646.0,,,LL
Hall 4 - Cairo Airport,501.0,,,LL
Haram & Marioteya,5491.0,POINT (321483.96432520763 3319089.27542655),2216.5,HL (outlier)
Haram Mashaal,5833.0,POINT (320602.2014439022 3318878.525149701),2745.9692048768807,HH (cluster)
Haram Mashaal (Al Mansoreya Rd.),964.0,POINT (320712.171847812 3318779.5333778947),2901.8442048768807,LH (outlier)
Haram St. & Talbeya,782.0,POINT (324592.1469824534 3320376.1487209513),4391.125,LH (outlier)
Haram Talbeya,8743.0,POINT (324590.26698881225 3320396.127469727),3396.0,HH (cluster)
Haram Tunnel (Al Lebeny St.),3157.0,POINT (321440.29696578684 3318897.6504272204),2395.125,HL (outlier)
Hareer St. (Helwan),1820.0,POINT (336538.087199236 3302417.0720504844),2357.625,HL (outlier)
Hazem Hassan Consulting (Alexandria Desert Rd.),216.0,POINT (314074.11388173624 3322773.8855594834),404.75,LL
Health Affairs Directorate - 6th of October,60.0,POINT (304286.11686100066 3325617.977469074),181.875,LL
Health Insurance Hospital (Nasr City),1329.0,POINT (338653.8999126897 3326559.1504283184),3819.0285048934325,HH (cluster)
Hearing and Speech Institute (Imbaba),2123.0,POINT (328955.21881692787 3329129.3027075473),5967.25,HH (cluster)
Heliopolis Courthouse Complex,9003.0,POINT (338892.76727709547 3331508.0607796656),3658.5,HH (cluster)
Heliopolis Hospital,1954.0,POINT (339714.7556617954 3331811.998225849),2777.0,HH (cluster)
Heliopolis Sporting Club,499.0,POINT (337848.0503844211 3329845.624863221),6390.125,LH (outlier)
Heliopolis Square,2536.0,POINT (339955.9147134685 3331926.7328465),3057.625,HH (cluster)
Helmeyet El Zaitoun Metro,5719.0,,,LL
Helwan Post Office,4740.0,POINT (339066.1649944285 3302931.0029677064),4692.25,HH (cluster)
Helwan Station,19441.0,POINT (338839.39573262515 3303789.798227387),2639.125,HH (cluster)
Helwan University,96.0,POINT (337811.7103510336 3305498.147902153),3691.125,LH (outlier)
Herafyeen Bridge Exit,385.0,POINT (345603.5574028014 3335236.193421392),1803.3184041431869,LL
Higher Institute For Hotels & Tourism (Sheraton),3476.0,POINT (343924.00244027376 3331283.0147618703),1129.646696517912,HL (outlier)
Higher Institute Of Marketing Commerce & Information Systems,7553.0,POINT (350601.7510874205 3327138.0534774866),1094.375,HL (outlier)
Hikestep Bridge Entrance,1372.5472331454948,POINT (346274.8004780024 3335718.5735645425),3033.990229527938,HH (cluster)
Hilton Pyramids Golf (Dreamland),311.0,POINT (311024.86581759655 3316223.5689505977),467.75,LL
Holding Company For Water & Wastewater (HCWW),751.0,POINT (329480.0437074777 3328978.6372268647),1424.0,LL
Hospital 57357 (  Magra Al Oyoun ),267.0,POINT (330117.81142425735 3322883.905657575),2830.125,LH (outlier)
Hossary Station,3085.0,POINT (301610.3076461085 3317626.815340222),1313.625,HL (outlier)
Housing & Utilities Directorate (Giza),122.0,POINT (326823.6610631428 3320241.412520014),3086.0,LH (outlier)
Housing And Development Bank (6th of October),224.0,POINT (299889.46766968886 3316091.151000839),239.25,LL
Huckstep,77.0,POINT (352545.33335385943 3337468.0150997574),488.5,LL
Huckstep Bridge Entrance,1681.0,POINT (346248.73658904154 3335732.0511697726),2995.433633671125,HH (cluster)
Hussein Sedqy Mosque (Maadi),658.0,POINT (331252.93365954276 3315530.2405619086),1933.3821735730373,LL
Hyper One (Sheikh Zayed),17976.0,POINT (309457.8161682312 3323762.116921312),591.5,HL (outlier)
Ibn Al Hakam Square (Heliopolis),1280.0,POINT (338163.4065290573 3332139.689017082),4547.375,LH (outlier)
Ibrahim Abdel Raziq St. & Ain Shams St.,1848.0,POINT (338164.7226756748 3333985.768784087),1895.125,HL (outlier)
Ibrahim Al Afifi Alley (Mansoureyya Rd.),140.0,,,LL
Ibrahim Al Rifaie School (1st Settlement),2124.0,POINT (351200.12932019884 3327548.5760837677),1773.0,HL (outlier)
Ibrahim Anwar Mosque (Al Zaytoun),6067.0,POINT (336254.18896463164 3331434.447171221),5618.625,HH (cluster)
Ibrahim Bek Youth Center,1390.0,POINT (332595.6717715399 3334825.893461162),3436.25,HH (cluster)
Ibrahim Mosque (Marg Axis),6908.0,POINT (343568.1316259046 3336991.779544852),514.625,HL (outlier)
Icon for Construction And Development,1071.0,POINT (337355.9054857752 3308209.135712704),998.375,LL
Ideal Standard (Nasr Rd.),1623.3522226548118,POINT (343170.69804192206 3329997.2666928913),3759.521696517912,HH (cluster)
Ikea - CFC,1520.0,,,LL
Imam Al Shafei Mosque (Basateen Rd.),8037.537398789349,POINT (332398.691507207 3321424.8545076526),4783.5,HH (cluster)
Imbaba,20959.0,POINT (328291.34153123235 3328799.7764249514),4175.270134326638,HH (cluster)
Imbaba Fevers Hospital,2195.0,POINT (329060.57020702155 3329397.907322124),4163.5,HH (cluster)
Imbaba Police Station,638.0,POINT (328639.58529694437 3328422.3280378133),5908.75,LH (outlier)
Imbaba Station,16048.0,POINT (328619.2090167933 3328713.3942510434),4184.5,HH (cluster)
Industrial Technical Institute (Al Azhar),345.0,POINT (333412.56064362044 3326265.264865818),2648.375,LH (outlier)
International Garden,397.0,POINT (339840.5916087724 3325664.301401643),6858.5,LH (outlier)
Isaaf,19660.0,POINT (329922.3656703016 3326155.3898269227),14535.875,HH (cluster)
Isbiko Station,3181.0,POINT (347151.31583905185 3339850.1155480724),956.5,HL (outlier)
Isko,5650.0,POINT (334089.66683104757 3336785.052796643),3059.0,HH (cluster)
Islamic Center (Sheikh Zayed),29.0,POINT (305126.50034640206 3325967.9865571996),56.75,LL
Islamic Studies Institute( Waili ),1077.0,,,LL
Ismailiya Desert Rd. & Belbeis Desert Rd.,1757.0,POINT (348754.8538763651 3336469.3606306976),3345.615229527938,HH (cluster)
Jazirat Mohamed,278.0,POINT (327009.44427726127 3332603.102098735),4728.375,LH (outlier)
Journalists Club (Al Bahr Al Aazam),1852.0,,,LL
Judges Club (Al Dokki),1036.0,POINT (328304.8203758303 3324874.0444545327),1348.25,LL
Juhayna Square,1560.0,POINT (305402.719554618 3321432.084753668),348.25,HL (outlier)
Kabdet Al Prince (Imbaba),3933.0,POINT (328381.1830856998 3329069.4810612444),7751.75,HH (cluster)
Kafr AL Shurafa,2696.0,POINT (341908.64132356783 3335792.1290223277),4625.0,HH (cluster)
Kafr Tohormos Steps (Ring Rd.),782.0,POINT (323174.7789484117 3322219.6404775665),4515.75,LH (outlier)
Kafr Tuhurmis,13640.0,POINT (323972.46533133456 3322002.0015751217),4477.875,HH (cluster)
Kahraba Club (Rod Al Farag),964.0,POINT (329658.2305531924 3329527.0391954333),2300.25,LL
Kan Kan 12th District (6th of October),1493.0,POINT (297008.97381532047 3315751.8086506343),623.625,HL (outlier)
Kattameya Church,1203.0,POINT (347272.61710104183 3317869.951120966),427.5,LL
Kawkab Al Sharq Cafe - Bashayer,650.0,POINT (298759.7842404493 3317136.2174932975),682.5,LL
Kempinski Hotel (Ring Rd.),288.0,POINT (347491.4684510691 3326563.690654666),2160.75,LL
Kempinski Nile Hotel (Qasr Al Nile),6109.0,POINT (329312.5704956063 3324293.413120258),3511.625,HH (cluster)
Kerdasa Saft Al Laban Rd.,440.0,POINT (320267.3568665062 3323809.336106881),1780.75,LL
Kerdasa Station,4175.0,POINT (318424.1052349929 3324171.2052735304),329.625,HL (outlier)
KFC ( Faisal St. ),1075.0,POINT (323616.22656021675 3320489.8354888977),5384.5,LH (outlier)
KFC (Al Lebeny St.),3677.0,POINT (321558.3954086178 3318734.745137027),2471.0,HL (outlier)
KFC (Gameat Al Dowal St.),3858.0,POINT (326804.3868561252 3326281.323862945),2813.125,HH (cluster)
Khair Zaman (Autostrad Zahraa Al Maadi),133.0,,,LL
Khalafawi Square,6373.0,POINT (331296.06226058304 3330912.7183916494),6105.5,HH (cluster)
Khalil Agha Military School,555.0,POINT (332491.065107821 3326603.870800458),4184.288690622528,LH (outlier)
Khedr Al Touny (Al Tayaran),1031.0,,,LL
Khedr Al Touny Exit to Al Tayaran,1781.0,,,LL
Kheir Zaman (Ahmed Al Zomor),648.0,,,LL
Kheir Zaman Al Mehwar Al Markazi (6th of October),1143.0,POINT (301025.2290404321 3317497.3065246036),1005.125,LL
Khosous,1634.0,POINT (338552.75821674155 3338056.879051679),1592.5,HL (outlier)
Kia Motors (Joseph Tito St.),90.0,POINT (345122.3577448465 3334982.6251242207),823.1934041431869,LL
Kids Land (Mostafa Al Nahas),2197.0,,,LL
Kilo 4 & Half Bus Station,15392.0,POINT (344003.868119364 3328659.072297451),2731.8157243497635,HH (cluster)
Kit Kat District,2540.0,POINT (328203.2124385714 3327996.024345597),7361.895134326638,HH (cluster)
Kit Kat Square,14156.0,POINT (327801.71897558926 3327411.1730712573),2820.563357588594,HH (cluster)
Kobry Al Qobba,12720.0,POINT (335437.9228704699 3329601.719843752),3694.25,HH (cluster)
Kobry Orabi,37004.0,POINT (331414.5668603637 3333599.4430274353),5190.0,HH (cluster)
Koleyet Al Banat (Azhar University),912.0,POINT (338504.5987173725 3325811.732106701),3965.875,LH (outlier)
Konayyesa (Moneeb),2682.0,POINT (326091.2854036296 3318519.519512567),4199.25,HH (cluster)
Korba District,9793.0,POINT (338414.04191262124 3330219.4044532184),6137.875,HH (cluster)
Koshary Abu Hanafy (Al Moqattam),906.0,POINT (339005.82833052764 3319920.547654274),930.75,LL
Koshary Al Tahrir (Nasr St.),956.0,POINT (334512.8037118878 3317366.998938304),1150.6068375488712,LL
Koshary Aladin (Shobra),3914.0,POINT (331052.9719532791 3327944.412715284),7278.375,HH (cluster)
Koshary Hend ( Masaken Al Wehda),2385.0,POINT (332474.9913825131 3334325.011668787),3301.125,HH (cluster)
Language Institute (Al Qobba),2932.0,POINT (336110.7259556211 3329035.485992841),3835.25,HH (cluster)
Laylat Al Qadr Station,811.0,POINT (297736.4930064696 3314651.7854264723),348.75,LL
Leather and Tanning Company (Autostrad),386.0,POINT (333750.98970112647 3320040.1731520565),2546.682588415008,LL
Lebanon Square,260.0,POINT (325838.1429005988 3326748.2404165417),2736.0,LH (outlier)
Lebanon Square (Medan Lebnan),680.0,,,LL
Lebanon Square Station,8505.0,,,LL
Libya St,782.0,POINT (331528.5135676286 3334988.4028539318),5443.625,LH (outlier)
Lotfy Al Sayed St & Masr Wal Sudan St,4601.0,POINT (333535.31564849336 3328306.5070239753),2171.25,HL (outlier)
Lux School (Al Marg),1169.0,POINT (339058.4104325955 3337507.1104200077),2420.5,LL
Maadi Corniche Exit to Ring Rd.,289.0,,,LL
Maadi Metro Station,2858.0,POINT (331835.3307236105 3315650.553445633),2144.0000450344396,HL (outlier)
